method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
erm,33,g1,276228,209,0.7224879860877991,0.4979693383539537,0.604691743850708,0.6846005644225315,-0.0799088205718234
erm,33,g2,276228,37,0.6216216087341309,0.2756410256410256,0.7741381525993347,0.7024396780319512,0.0716984745673835
erm,33,g3,276228,128,0.7265625,0.5007320066625756,0.6690218448638916,0.7673795436520174,-0.0983576987881258
erm,33,g4,276228,14665,0.7463348507881165,0.6272677447921468,0.5752249360084534,0.6238109850217399,-0.0485860490132865
erm,33,g5,276228,14,0.7142857313156128,0.4142857142857142,1.723486304283142,0.8973705906662908,0.8261157136168513
erm,33,g6,276228,10579,0.7620757818222046,0.6900599399425519,0.5514488816261292,0.5871916648544888,-0.0357427832283596
anchors_only,33,g1,276228,209,0.7129186391830444,0.5162656735612474,0.6603842377662659,0.6846005644225315,-0.0242163266562656
anchors_only,33,g2,276228,37,0.6216216087341309,0.29,1.046217679977417,0.7024396780319512,0.3437780019454658
anchors_only,33,g3,276228,128,0.703125,0.6177205588970295,0.7715392708778381,0.7673795436520174,0.0041597272258206
anchors_only,33,g4,276228,14665,0.7579952478408813,0.6429754906519385,0.5774514079093933,0.6238109850217399,-0.0463595771123466
anchors_only,33,g5,276228,14,0.6428571939468384,0.3809523809523809,1.2590821981430054,0.8973705906662908,0.3617116074767146
anchors_only,33,g6,276228,10579,0.7712448835372925,0.7072297594099568,0.5569121241569519,0.5871916648544888,-0.0302795406975369
erm,1337,g1,276228,209,0.7177033424377441,0.4110385904050287,0.629904568195343,0.6846005644225315,-0.0546959962271884
erm,1337,g2,276228,37,0.6486486792564392,0.3013415892672859,0.8917543292045593,0.7024396780319512,0.1893146511726081
erm,1337,g3,276228,128,0.734375,0.5645160488302131,0.6589810848236084,0.7673795436520174,-0.108398458828409
erm,1337,g4,276228,14665,0.7549267411231995,0.6510603316215045,0.5699416995048523,0.6238109850217399,-0.0538692855168876
erm,1337,g5,276228,14,0.7142857313156128,0.4142857142857142,1.408443808555603,0.8973705906662908,0.5110732178893123
erm,1337,g6,276228,10579,0.7601852416992188,0.6926759222898795,0.5550059080123901,0.5871916648544888,-0.0321857568420986
anchors_only,1337,g1,276228,209,0.6985645890235901,0.5149512639063722,0.6800104975700378,0.6846005644225315,-0.0045900668524936
anchors_only,1337,g2,276228,37,0.5945945978164673,0.2827380952380952,1.0366452932357788,0.7024396780319512,0.3342056152038276
anchors_only,1337,g3,276228,128,0.75,0.6308150584795322,0.6779327988624573,0.7673795436520174,-0.0894467447895601
anchors_only,1337,g4,276228,14665,0.7614729404449463,0.6570540660152703,0.58121657371521,0.6238109850217399,-0.0425944113065299
anchors_only,1337,g5,276228,14,0.6428571939468384,0.3809523809523809,1.265945553779602,0.8973705906662908,0.3685749631133113
anchors_only,1337,g6,276228,10579,0.7726628184318542,0.7097790049534091,0.5586472749710083,0.5871916648544888,-0.0285443898834805
erm,42,g1,276228,209,0.7224879860877991,0.5479321111504901,0.5975587368011475,0.6846005644225315,-0.087041827621384
erm,42,g2,276228,37,0.5945945978164673,0.2652218782249742,0.8084914684295654,0.7024396780319512,0.1060517903976142
erm,42,g3,276228,128,0.7265625,0.5313809523809524,0.6903548836708069,0.7673795436520174,-0.0770246599812105
erm,42,g4,276228,14665,0.7541766166687012,0.628613213710529,0.5721773505210876,0.6238109850217399,-0.0516336345006522
erm,42,g5,276228,14,0.7142857313156128,0.4142857142857142,1.2975324392318726,0.8973705906662908,0.4001618485655818
erm,42,g6,276228,10579,0.7647225260734558,0.7063092830775956,0.5518497824668884,0.5871916648544888,-0.0353418823876003
anchors_only,42,g1,276228,209,0.703349232673645,0.4777591036414566,0.6596195101737976,0.6846005644225315,-0.0249810542487338
anchors_only,42,g2,276228,37,0.5405405759811401,0.2448979591836735,1.0395030975341797,0.7024396780319512,0.3370634195022285
anchors_only,42,g3,276228,128,0.734375,0.5861742424242425,0.6838786005973816,0.7673795436520174,-0.0835009430546358
anchors_only,42,g4,276228,14665,0.7618820667266846,0.6554763289589596,0.582500159740448,0.6238109850217399,-0.0413108252812919
anchors_only,42,g5,276228,14,0.6428571939468384,0.3809523809523809,1.1658800840377808,0.8973705906662908,0.26850949337149
anchors_only,42,g6,276228,10579,0.7765384316444397,0.7212219266209177,0.561759352684021,0.5871916648544888,-0.0254323121704678
erm,11,g1,276228,209,0.7416267395019531,0.5010535791162772,0.583531379699707,0.6846005644225315,-0.1010691847228244
erm,11,g2,276228,37,0.6216216087341309,0.2756410256410256,0.7685930728912354,0.7024396780319512,0.0661533948592841
erm,11,g3,276228,128,0.7890625,0.6955090979481224,0.6437116265296936,0.7673795436520174,-0.1236679171223238
