method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
REMIND,1337,g1,295,53506,0.7898305084745763,0.757574239247835,0.5177480657158767,0.420320,0.097428
REMIND,1337,g2,125,53506,0.904,0.47473404255319146,0.32347116129100323,0.105100,0.218371
REMIND,1337,g3,200,53506,0.74,0.5566094543443094,0.5519320110604167,0.511216,0.040716
REMIND,7,g0,305,53506,0.7770491803278688,0.7705838224315626,0.5621503747981516,0.377003,0.185147
REMIND,7,g1,295,53506,0.8,0.7737564717827876,0.544861604343674,0.420320,0.124542
REMIND,7,g2,125,53506,0.896,0.47222222222222227,0.5518927158740985,0.105100,0.446793
REMIND,7,g3,200,53506,0.72,0.5602204716009269,0.7608971728268079,0.511216,0.249681
REMIND,2024,g0,305,53506,0.7737704918032787,0.7695357880330087,0.6381670418251308,0.377003,0.261164
REMIND,2024,g1,295,53506,0.7423728813559322,0.7218373385040052,0.6577767750930773,0.420320,0.237457
REMIND,2024,g2,125,53506,0.88,0.4670542635658916,0.5871293795553111,0.105100,0.482029
REMIND,2024,g3,200,53506,0.745,0.5984324073863112,0.806201595159946,0.511216,0.294986
REMIND,31337,g0,305,53506,0.7836065573770492,0.7794158594307847,0.480120507306343,0.377003,0.103118
REMIND,31337,g1,295,53506,0.8,0.7698780135646481,0.49464334944515664,0.420320,0.074323
REMIND,31337,g2,125,53506,0.904,0.47463768115942023,0.388765094762668,0.105100,0.283665
REMIND,31337,g3,200,53506,0.735,0.5546242706568794,0.5625537000782788,0.511216,0.051338
REMIND,11,g0,305,53506,0.7344262295081967,0.726464306897829,0.5824800048653711,0.377003,0.205477
REMIND,11,g1,295,53506,0.7796610169491526,0.7509113202043413,0.5991858102905762,0.420320,0.178866
REMIND,11,g2,125,53506,0.904,0.47473404255319146,0.45374685742642795,0.105100,0.348647
REMIND,11,g3,200,53506,0.74,0.5752203501150198,0.624534012399381,0.511216,0.113318
REMIND,22,g0,305,53506,0.7770491803278688,0.7704462978556408,0.5264763221062135,0.377003,0.149473
REMIND,22,g1,295,53506,0.7898305084745763,0.7556108404586217,0.5748233706579875,0.420320,0.154503
REMIND,22,g2,125,53506,0.896,0.47222222222222227,0.4514026647740975,0.105100,0.346303
REMIND,22,g3,200,53506,0.725,0.5398430735930737,0.5898842066060752,0.511216,0.078668
REMIND,33,g0,305,53506,0.7311475409836066,0.7212184978121645,0.695939284208202,0.377003,0.318936
REMIND,33,g1,295,53506,0.7796610169491526,0.7482591057612663,0.6451010773982265,0.420320,0.224781
REMIND,33,g2,125,53506,0.904,0.47473404255319146,0.7304708482852311,0.105100,0.625371
REMIND,33,g3,200,53506,0.735,0.5771510042976241,0.8067359214676708,0.511216,0.295520
REMIND,44,g0,305,53506,0.7672131147540984,0.7594670649030538,0.5097113998797645,0.377003,0.132708
REMIND,44,g1,295,53506,0.7830508474576271,0.7564895426231476,0.5078941259012257,0.420320,0.087574
REMIND,44,g2,125,53506,0.896,0.4724213691026827,0.343665323138237,0.105100,0.238565
REMIND,44,g3,200,53506,0.725,0.5614505622141757,0.6017781719379127,0.511216,0.090562
REMIND,55,g0,305,53506,0.7672131147540984,0.7628030033405151,0.5012584806145093,0.377003,0.124255
REMIND,55,g1,295,53506,0.7864406779661017,0.7613906701187403,0.5213609020967604,0.420320,0.101041
REMIND,55,g2,125,53506,0.896,0.4724213691026827,0.3596741580031812,0.105100,0.254574
REMIND,55,g3,200,53506,0.74,0.5466872728895337,0.6148406183812767,0.511216,0.103625
